Acav,S,mu
(-0.0038573608014695845-0.0016417192987855217j),-85.0,-301.0
(-0.004895009200162416-0.0007213391947627854j),-85.0,-300.0
(-0.003712683581615113+0.0011022977150117257j),-85.0,-299.0
(-0.0014970017666066043+0.0023833708248876878j),-85.0,-298.0
(-0.00014569472928611208+0.001910352975591154j),-85.0,-297.0
(-0.0005976239118205613-0.00015871101592104163j),-85.0,-296.0
(-0.0022174482206074463-0.0021330979653763666j),-85.0,-295.0
(-0.0036618896364595892-0.0022274305174929004j),-85.0,-294.0
(-0.003996024465523975-0.00025051049362975183j),-85.0,-293.0
(-0.003168733506989419+0.002175382708996839j),-85.0,-292.0
(-0.0017956340866297452+0.0028836620743190396j),-85.0,-291.0
(-0.0007242290576350524+0.001157760810843608j),-85.0,-290.0
(-0.000677359900058835-0.001456163622152645j),-85.0,-289.0
(-0.0017654599350392056-0.002639700315325214j),-85.0,-288.0
(-0.003300674924307921-0.0014215473855569893j),-85.0,-287.0
(-0.004190866725251367+0.0010149416051678072j),-85.0,-286.0
(-0.0036102383673795252+0.0025165985795446095j),-85.0,-285.0
(-0.0017968926641881468+0.001970623808491433j),-85.0,-284.0
(-0.00011679821811974796+4.098905683010093e-05j),-85.0,-283.0
(-4.1648851834755055e-05-0.0016310966663564054j),-85.0,-282.0
(-0.0018648911624712969-0.0018043224456191739j),-85.0,-281.0
(-0.004136985973761621-0.0005527946761236829j),-85.0,-280.0
(-0.004810010272403198+0.001046968528858241j),-85.0,-279.0
(-0.0032092371732252416+0.0018745200866267552j),-85.0,-278.0
(-0.0006595940204819645+0.0014801957395235233j),-85.0,-277.0
(0.0006194593356491721+0.00021967227332844253j),-85.0,-276.0
(-0.0005286767320556347-0.0011048596321526474j),-85.0,-275.0
(-0.0030640770776844874-0.0016088221623145633j),-85.0,-274.0
(-0.004752417903331891-0.0008198258127479732j),-85.0,-273.0
(-0.004181337896644063+0.0008125446808240668j),-85.0,-272.0
(-0.0019709360237723855+0.002122075935495885j),-85.0,-271.0
(-0.00011022536217016961+0.002017146844760128j),-85.0,-270.0
(-3.6954070419046434e-05+0.00038232842998549055j),-85.0,-269.0
(-0.0015954815741182065-0.0015775418232375443j),-85.0,-268.0
(-0.003439259542063366-0.002180718335716459j),-85.0,-267.0
(-0.0041597066132632015-0.0007245232681031788j),-85.0,-266.0
(-0.00339053993473529+0.0016927045262959163j),-85.0,-265.0
(-0.0018543028952723935+0.002958716428190087j),-85.0,-264.0
(-0.000645409134732061+0.0018960697823265842j),-85.0,-263.0
(-0.000566291282573494-0.0006200869854971862j),-85.0,-262.0
(-0.0016322179757815405-0.0023801235699732154j),-85.0,-261.0
(-0.003126403621215884-0.0018237958931453856j),-85.0,-260.0
(-0.004064441263639656+0.0004800078738058813j),-85.0,-259.0
(-0.0037234926267185157+0.00249262803752073j),-85.0,-258.0
(-0.0022105716782188267+0.002572603572314269j),-85.0,-257.0
(-0.0005712036591295396+0.0007659808163107094j),-85.0,-256.0
(-0.00015888813836518304-0.0013053549320117671j),-85.0,-255.0
(-0.0015292737678871723-0.0019744586642948406j),-85.0,-254.0
(-0.0037056202725066992-0.0009033516890621507j),-85.0,-253.0
(-0.00486097758584086+0.0009076063174283254j),-85.0,-252.0
(-0.0038907328386393937+0.0020334087503733936j),-85.0,-251.0
(-0.0014867938616443164+0.0017442106678111774j),-85.0,-250.0
(0.00027527313732202656+0.00039116599980745505j),-85.0,-249.0
(-0.00019396787476067876-0.0010616706142915742j),-85.0,-248.0
(-0.0025035335484196192-0.0016385450975009781j),-85.0,-247.0
(-0.004620286247736152-0.0009686440950271404j),-85.0,-246.0
(-0.004687888026950311+0.0004822507360460022j),-85.0,-245.0
(-0.00273064937056729+0.0017605032041436732j),-85.0,-244.0
(-0.0004772374729802496+0.0019085359091412003j),-85.0,-243.0
(0.000263780108058129+0.0006327586517926544j),-85.0,-242.0
(-0.0009873927253242303-0.0012297124297262465j),-85.0,-241.0
(-0.0030350577291063537-0.002161034870374603j),-85.0,-240.0
(-0.004134516487561976-0.0011869256849199785j),-85.0,-239.0
(-0.003515269502184504+0.001074475215694726j),-85.0,-238.0
(-0.0017729224013067837+0.0027683999168737314j),-85.0,-237.0
(-0.0002439533699525875+0.0024292114439395125j),-85.0,-236.0
(7.642774173750287e-05+0.0003294530269810975j),-85.0,-235.0
(-0.0008101019336482977-0.0016335717837847653j),-85.0,-234.0
(-0.002175434072659547-0.0015994752003210262j),-85.0,-233.0
(-0.0030297043970171932+0.0005748570691896753j),-85.0,-232.0
(-0.0026569402459863155+0.0032135376575920314j),-85.0,-231.0
(-0.0011398025308833834+0.004289679952273921j),-85.0,-230.0
(0.0006593569560954452+0.003275609401104731j),-85.0,-229.0
(0.0015743886282492915+0.0015499137080103773j),-85.0,-228.0
(0.0009631858842629609+0.0010130171651041861j),-85.0,-227.0
(-0.0005976169489788847+0.0025562848965008647j),-85.0,-226.0
(-0.0015663414542854825+0.0054892135893476815j),-85.0,-225.0
(-0.0005902649803588959+0.008237161857561065j),-85.0,-224.0
(0.0021786468146765413+0.009737629434204056j),-85.0,-223.0
(0.004987012241040214+0.010164355554204163j),-85.0,-222.0
(0.0060542415539850646+0.010664916392332023j),-85.0,-221.0
(0.005196879677448177+0.012436915604988132j),-85.0,-220.0
(0.004021794455749923+0.01588723700412032j),-85.0,-219.0
(0.004503683382870129+0.020602324466010766j),-85.0,-218.0
(0.007147387598777879+0.02556772224035124j),-85.0,-217.0
(0.010421962059089268+0.029398112903590852j),-85.0,-216.0
(0.011849651670128731+0.030861347610972863j),-85.0,-215.0
(0.010005575801179294+0.0293726939426713j),-85.0,-214.0
(0.005930508810930896+0.025455206640011194j),-85.0,-213.0
(0.002414114722926372+0.02083273359839932j),-85.0,-212.0
(0.0015815694379419309+0.01753863543800561j),-85.0,-211.0
(0.0029922021205499817+0.01641026778304765j),-85.0,-210.0
(0.004278193025708158+0.016144649290725725j),-85.0,-209.0
(0.0036871219465177455+0.014381323582656197j),-85.0,-208.0
(0.001613241523477595+0.010276790121022845j),-85.0,-207.0
(-0.0001716371975321511+0.005684895141492926j),-85.0,-206.0
(-0.0005238624187326293+0.003504511974384145j),-85.0,-205.0
(-5.56324228635798e-05+0.004668829582491542j),-85.0,-204.0
(5.89988813902198e-06+0.006923560688302095j),-85.0,-203.0
(-0.0005300796325465088+0.007045403571718704j),-85.0,-202.0
(-0.0008444393882610417+0.0040939438894486875j),-85.0,-201.0
(-0.00041530453786628316+0.00034889496861081513j),-85.0,-200.0
(1.2187508402622964e-05-0.0010186745916649898j),-85.0,-199.0
(-0.0007232292435968576+0.000728178229088311j),-85.0,-198.0
(-0.002452157301116765+0.0032804130951971182j),-85.0,-197.0
(-0.00352920990744194+0.0038552879778829j),-85.0,-196.0
(-0.0025450473624720553+0.0019484367880516253j),-85.0,-195.0
(-0.00017699541708076312-0.00044526333255646213j),-85.0,-194.0
(0.0010475481572963317-0.0011902223865466574j),-85.0,-193.0
(-0.0005175975878354701-0.0001256185484635594j),-85.0,-192.0
(-0.003606630008220875+0.0011757929772579737j),-85.0,-191.0
(-0.005198209992229502+0.0013102136437870638j),-85.0,-190.0
(-0.0036040549407758914+0.0005491204012342092j),-85.0,-189.0
(-0.0003609878338731046+0.000118785223466615j),-85.0,-188.0
(0.001272136746446832+0.0003722431403591112j),-85.0,-187.0
(-0.0003438191928996424+0.00048529903978143885j),-85.0,-186.0
(-0.003601091019194813-0.00022860132736767877j),-85.0,-185.0
(-0.005279495712997544-0.0011144728057217613j),-85.0,-184.0
(-0.0038606479403247183-0.0008020201534582402j),-85.0,-183.0
(-0.001000500230594453+0.000835763335269992j),-85.0,-182.0
(0.00040030574235935205+0.002194263140069977j),-85.0,-181.0
(-0.0007767499763390923+0.001573139797896557j),-85.0,-180.0
(-0.0029559840915450337-0.0008398285081134396j),-85.0,-179.0
(-0.003896207854403473-0.0027019686331167174j),-85.0,-178.0
(-0.0030791506121771194-0.0018693608499916734j),-85.0,-177.0
(-0.001791739355689406+0.0011045750965016034j),-85.0,-176.0
(-0.0014050888937550687+0.003320701286785393j),-85.0,-175.0
(-0.0018899210532908294+0.0024357321768983613j),-85.0,-174.0
(-0.002188029710752382-0.0007400943405674516j),-85.0,-173.0
(-0.0018556168058297625-0.0029905519177809417j),-85.0,-172.0
(-0.0016263158719123823-0.002101044068808759j),-85.0,-171.0
(-0.0023024132285769977+0.0009621029848025787j),-85.0,-170.0
(-0.003408439743550672+0.0031348384363755455j),-85.0,-169.0
(-0.0034285133710099617+0.002415305235986587j),-85.0,-168.0
(-0.0018075793072216432-0.0001830561227364282j),-85.0,-167.0
(-2.7957907429134187e-05-0.0019578768797579352j),-85.0,-166.0
(-0.00015505370555195008-0.001356039991272563j),-85.0,-165.0
(-0.002479358448669441+0.0006335470425276618j),-85.0,-164.0
(-0.004800677806565822+0.0018283527470228562j),-85.0,-163.0
(-0.004609023353221442+0.0013511655418229883j),-85.0,-162.0
(-0.0018913804825390975+0.00024197904612942772j),-76.45964363757282,-161.0
(0.0007389284213428239-0.00013374550317896508j),-85.0,-160.0
