Acav,S,mu
(-0.0023464814729787674+0.0005308110454372615j),-85.0,-301.0
(-0.0013438788028252878-0.0002619618268084881j),-85.0,-300.0
(-0.00132058431476305-0.00035279499479080526j),-85.0,-299.0
(-0.002138858708799011+0.0001992746821046972j),-85.0,-298.0
(-0.0029573012777523583+0.0004427888002275319j),-85.0,-297.0
(-0.0032055023297319824+0.0001528812048658113j),-85.0,-296.0
(-0.002662457986097864+6.086452225493957e-05j),-85.0,-295.0
(-0.0016563956846270469+0.0004881870986117982j),-85.0,-294.0
(-0.001124608292824815+0.0007210347014545309j),-85.0,-293.0
(-0.0017470939463170988+0.0002467897108472105j),-85.0,-292.0
(-0.002919937006864079-0.0003752391771993593j),-85.0,-291.0
(-0.003258543218542741-0.0004178292428056917j),-85.0,-290.0
(-0.002482999956161506+9.224386946302452e-05j),-85.0,-289.0
(-0.0017360781825480488+0.0007142252600255569j),-85.0,-288.0
(-0.0017760937274621004+0.0010289470599172505j),-85.0,-287.0
(-0.0021544457506202214+0.0006798661788838355j),-85.0,-286.0
(-0.0022828219766010066-0.0002984000122085322j),-85.0,-285.0
(-0.0022872265429366993-0.0009850655787080281j),-85.0,-284.0
(-0.0024341010791260847-0.000409827107751156j),-85.0,-283.0
(-0.0025132217016661947+0.0009206213998392312j),-85.0,-282.0
(-0.002359561969717122+0.0014425414140710525j),-85.0,-281.0
(-0.0021938044745501892+0.0006273193715908115j),-85.0,-280.0
(-0.00202661142268177-0.00042774638426364576j),-85.0,-279.0
(-0.0018026059007643772-0.0006350767383948564j),-85.0,-278.0
(-0.001875762762790373-0.00012977499427770691j),-85.0,-277.0
(-0.002553654442349567+0.0004273730118963073j),-85.0,-276.0
(-0.0032266157695241735+0.0007374523706841935j),-85.0,-275.0
(-0.0028584206438270247+0.0006927544012798017j),-85.0,-274.0
(-0.0016433062069101782+0.0002473761193796273j),-85.0,-273.0
(-0.0010442271719352137-0.00020575115199397435j),-85.0,-272.0
(-0.0017527862004781771-0.00015947248590775391j),-85.0,-271.0
(-0.0028788097146497907+0.00021773415198959073j),-85.0,-270.0
(-0.0032567640760644487+0.0003001720944603358j),-85.0,-269.0
(-0.0027431648543278122+0.00011286267170310101j),-85.0,-268.0
(-0.0019656296871672745+0.0002846307944979531j),-85.0,-267.0
(-0.0014327711370229078+0.0007442925742201095j),-85.0,-266.0
(-0.001514603022579787+0.0006217599064192421j),-85.0,-265.0
(-0.0023076726107702583-0.0002148354118922947j),-85.0,-264.0
(-0.0030804354113192793-0.0007232369622955198j),-85.0,-263.0
(-0.0029550954752480926-0.00019478249879318601j),-85.0,-262.0
