lbd,S,freq,mu
1.7e-06,-59.2977305,176348504705882.34,-106.23432518131467
1.69998e-06,-66.1253291,176350579418581.4,-106.23224797596919
1.69996e-06,-67.1160373,176352654180098.34,-106.23017072174719
1.69994e-06,-62.6260988,176354728990434.94,-106.22809341864688
1.69992e-06,-85.0,176356803849592.94,-106.2260160666665
1.6999e-06,-64.1905308,176358878757573.97,-106.22393866580444
1.69988e-06,-66.7285925,176360953714379.8,-106.2218612160589
1.69986e-06,-66.5301918,176363028720012.25,-106.2197837174281
1.69984e-06,-85.0,176365103774472.88,-106.21770616991046
1.69982e-06,-61.9253891,176367178877763.53,-106.2156285735041
1.6998e-06,-66.1099174,176369254029885.88,-106.21355092820741
1.69978e-06,-65.6064399,176371329230841.62,-106.21147323401864
1.69976e-06,-78.3351908,176373404480632.56,-106.209395490936
1.69974e-06,-62.3105917,176375479779260.34,-106.20731769895784
1.69972e-06,-82.1043646,176377555126726.75,-106.2052398580824
1.6997e-06,-75.096022,176379630523033.47,-106.20316196830794
1.69968e-06,-79.3445332,176381705968182.25,-106.20108402963275
1.69966e-06,-66.1615317,176383781462174.78,-106.19900604205512
1.69964e-06,-63.3661669,176385857005012.8,-106.19692800557331
1.69962e-06,-85.0,176387932596698.1,-106.19484992018556
1.6996e-06,-63.7431759,176390008237232.28,-106.19277178589023
1.69958e-06,-61.7493512,176392083926617.16,-106.1906936026855
1.69956e-06,-64.24038,176394159664854.44,-106.18861537056968
1.69954e-06,-64.8739488,176396235451945.8,-106.18653708954108
1.69952e-06,-65.8567199,176398311287893.06,-106.18445875959789
1.6995e-06,-85.0,176400387172697.84,-106.18238038073848
1.69948e-06,-64.4048437,176402463106361.94,-106.18030195296106
1.69946e-06,-85.0,176404539088887.06,-106.1782234762639
1.69944e-06,-58.9209398,176406615120274.9,-106.17614495064531
1.69942e-06,-85.0,176408691200527.25,-106.17406637610351
1.6994e-06,-62.6066789,176410767329645.75,-106.17198775263685
1.69938e-06,-68.8263544,176412843507632.2,-106.16990908024354
1.69936e-06,-85.0,176414919734488.28,-106.16783035892186
1.69934e-06,-63.8718133,176416996010215.72,-106.16575158867012
1.69932e-06,-85.0,176419072334816.28,-106.16367276948654
1.6993e-06,-64.7652834,176421148708291.66,-106.16159390136943
1.69928e-06,-63.0118994,176423225130643.56,-106.15951498431706
1.69926e-06,-61.7081695,176425301601873.75,-106.15743601832769
1.69924e-06,-69.4212233,176427378121983.94,-106.15535700339957
1.69922e-06,-59.8073412,176429454690975.84,-106.15327793953104
1.6992e-06,-63.5226953,176431531308851.22,-106.15119882672029
1.69918e-06,-77.9810253,176433607975611.75,-106.14911966496565
1.69916e-06,-64.6358055,176435684691259.22,-106.14704045426534
1.69914e-06,-59.7455362,176437761455795.28,-106.1449611946177
1.69912e-06,-66.4443205,176439838269221.72,-106.14288188602094
1.6991e-06,-63.3889216,176441915131540.22,-106.14080252847339
1.69908e-06,-69.2963469,176443992042752.53,-106.13872312197327
1.69906e-06,-62.1735033,176446069002860.4,-106.13664366651885
1.69904e-06,-61.2542866,176448146011865.53,-106.13456416210843
1.69902e-06,-62.2680335,176450223069769.62,-106.1324846087403
1.699e-06,-85.0,176452300176574.47,-106.13040500641266
1.69898e-06,-60.8865021,176454377332281.72,-106.12832535512386
1.69896e-06,-85.0,176456454536893.16,-106.12624565487212
1.69894e-06,-64.2860828,176458531790410.5,-106.12416590565573
1.69892e-06,-71.4984712,176460609092835.44,-106.12208610747297
1.6989e-06,-63.6942824,176462686444169.75,-106.12000626032207
1.69888e-06,-63.5373593,176464763844415.16,-106.11792636420132
1.69886e-06,-62.1117635,176466841293573.34,-106.11584641910902
1.69884e-06,-67.6752297,176468918791646.06,-106.11376642504342
1.69882e-06,-69.731228,176470996338635.03,-106.11168638200282
1.6988e-06,-66.6776893,176473073934542.03,-106.1096062899854
1.69878e-06,-61.9493236,176475151579368.72,-106.1075261489895
1.69876e-06,-60.0355783,176477229273116.84,-106.10544595901341
1.69874e-06,-63.164691,176479307015788.2,-106.10336572005532
1.69872e-06,-63.3830711,176481384807384.38,-106.1012854321136
1.6987e-06,-62.3820131,176483462647907.22,-106.09920509518645
1.69868e-06,-62.6046762,176485540537358.4,-106.09712470927215
1.69866e-06,-61.6870117,176487618475739.7,-106.09504427436899
1.69864e-06,-69.725891,176489696463052.8,-106.0929637904752
1.69862e-06,-85.0,176491774499299.44,-106.09088325758911
1.6986e-06,-60.0844477,176493852584481.34,-106.08880267570895
1.69858e-06,-85.0,176495930718600.25,-106.08672204483298
1.69856e-06,-61.1835346,176498008901657.88,-106.08464136495951
1.69854e-06,-65.4069175,176500087133655.97,-106.08256063608677
1.69852e-06,-66.2623422,176502165414596.22,-106.08047985821308
1.6985e-06,-68.3747768,176504243744480.44,-106.0783990313366
1.69848e-06,-65.189893,176506322123310.25,-106.07631815545574
1.69846e-06,-61.5064493,176508400551087.44,-106.07423723056868
1.69844e-06,-85.0,176510479027813.75,-106.0721562566737
1.69842e-06,-61.7974868,176512557553490.88,-106.07007523376909
1.6984e-06,-63.0206073,176514636128120.6,-106.06799416185306
1.69838e-06,-63.3043012,176516714751704.56,-106.06591304092399
1.69836e-06,-85.0,176518793424244.56,-106.06383187098005
1.69834e-06,-63.6732373,176520872145742.3,-106.06175065201955
1.69832e-06,-64.2300434,176522950916199.53,-106.05966938404076
1.6983e-06,-63.8109599,176525029735617.97,-106.05758806704192
1.69828e-06,-85.0,176527108603999.34,-106.05550670102132
1.69826e-06,-61.0789851,176529187521345.38,-106.05342528597724
1.69824e-06,-85.0,176531266487657.8,-106.05134382190792
1.69822e-06,-69.2452815,176533345502938.38,-106.04926230881163
1.6982e-06,-63.5012484,176535424567188.78,-106.04718074668668
1.69818e-06,-62.955363,176537503680410.78,-106.04509913553129
1.69816e-06,-65.9471507,176539582842606.1,-106.04301747534376
1.69814e-06,-64.1627759,176541662053776.5,-106.04093576612229
